year,theme,qid_key,qid,qheader,qsub,socio_group,group_,response,num,denom,percent_,Quality,ObjectId
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Sexual orientation,LGBTQ2S+,Yes,1700,19800,8.6,Use with caution,44
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Sexual orientation,LGBTQ2S+,Yes,2600,23500,11.1,Use with caution,45
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Education,Less than high school diploma or its equivalent,Yes,6500,84100,7.7,Acceptable,46
2018,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Sexual orientation,LGBTQ2S+,Yes,300,4200,7.1,Suppressed,47
2018,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Sexual orientation,LGBTQ2S+,No,4000,4200,95.2,Use with caution,48
2021,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Sexual orientation,LGBTQ2S+,Yes,600,4700,12.8,Suppressed,49
2021,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Sexual orientation,LGBTQ2S+,No,4100,4700,87.2,Use with caution,50
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sex,Male,Very easy,97800,543600,18,Good,51
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sex,Male,Easy,141400,543600,26,Good,52
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sex,Male,Neither difficult nor easy,214700,543600,39.5,Good,53
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Sex,Male,Difficult,61300,543600,11.3,Good,54
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Difficult,105300,761000,13.8,Good,55
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Very difficult,27700,761000,3.6,Good,56
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Neither difficult nor easy,316700,761000,41.6,Good,57
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Very easy,116400,761000,15.3,Good,58
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Easy,194000,761000,25.5,Good,59
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Very difficult,22900,765000,3,Good,60
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Very easy,160200,765000,20.9,Good,61
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Neither difficult nor easy,270100,765000,35.3,Good,62
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Easy,227700,765000,29.8,Good,63
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Non-racialized,Difficult,84000,765000,11,Good,64
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Overall,Total,Very easy,193400,1093500,17.7,Good,65
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Overall,Total,Very difficult,51900,1093500,4.7,Good,66
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Overall,Total,Difficult,130500,1093500,11.9,Good,67
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Overall,Total,Easy,293500,1093500,26.8,Good,68
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Overall,Total,Neither difficult nor easy,424100,1093500,38.8,Good,69
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,,Total,Difficult,155900,1057400,14.7,Good,70
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,,Total,Very easy,146900,1057400,13.9,Good,71
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,,Total,Very difficult,43700,1057400,4.1,Good,72
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,,Total,Easy,251800,1057400,23.8,Good,73
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,,Total,Neither difficult nor easy,457900,1057400,43.3,Good,74
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Very easy,24700,199500,12.4,Good,75
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Neither difficult nor easy,95000,199500,47.6,Good,76
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Easy,51300,199500,25.7,Good,77
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Difficult,21000,199500,10.5,Good,78
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Neither difficult nor easy,87700,200400,43.8,Good,79
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Difficult,32700,200400,16.3,Good,80
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Very difficult,14300,200400,7.1,Good,81
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Easy,44700,200400,22.3,Good,82
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Very easy,21000,200400,10.5,Good,83
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Easy,131700,423000,31.1,Good,84
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Difficult,33900,423000,8,Good,85
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Very difficult,9100,423000,2.2,Good,86
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Very easy,97500,423000,23,Good,87
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Neither difficult nor easy,150700,423000,35.6,Good,88
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Neither difficult nor easy,160300,405300,39.6,Good,89
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Very difficult,8100,405300,2,Good,90
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Very easy,85200,405300,21,Good,91
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Easy,108600,405300,26.8,Good,92
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Education,University certificate,Difficult,42900,405300,10.6,Good,93
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Racialized,Difficult,49200,285000,17.3,Good,94
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Racialized,Easy,57000,285000,20,Good,95
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Racialized,Very difficult,16100,285000,5.6,Good,96
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Racialized,Neither difficult nor easy,132500,285000,46.5,Good,97
2018,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Racialized,Very easy,30100,285000,10.6,Good,98
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Racialized,Easy,65800,327000,20.1,Good,99
2021,Financial pressures,4,4,"In the past 12 months, how difficult or easy was it for your household to meet its financial needs in terms of transportation, housing, food, clothing and other necessary expenses?",,Racial identity,Racialized,Difficult,46000,327000,14.1,Good,100
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Sex,Female,"Yes, sometimes",43300,532300,8.1,Good,101
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Sex,Female,"Yes, often",15600,532300,2.9,Good,102
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Sexual orientation,Heterosexual,"Yes, often",8700,388500,2.2,Good,103
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Sexual orientation,Heterosexual,"Yes, sometimes",27800,388500,7.2,Good,104
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Education,High school diploma or a equivalency certificate,"Yes, sometimes",16100,187600,8.6,Good,105
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Sex,Male,"Yes, often",11000,524100,2.1,Good,106
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Sex,Male,"Yes, sometimes",44400,524100,8.5,Good,107
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Racial identity,Non-racialized,"Yes, sometimes",47200,761000,6.2,Good,108
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Racial identity,Non-racialized,"Yes, often",10400,761000,1.4,Good,109
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,,Total,"Yes, sometimes",87600,1057400,8.3,Good,110
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,,Total,"Yes, often",26700,1057400,2.5,Good,111
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, often",5900,200400,2.9,Good,112
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, sometimes",22800,200400,11.4,Good,113
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Education,University certificate,"Yes, sometimes",23200,405300,5.7,Good,114
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Education,University certificate,"Yes, often",10500,405300,2.6,Good,115
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Racial identity,Racialized,"Yes, often",16200,285000,5.7,Good,116
2018,Financial pressures,7,5,"In the past 12 months, has any member of your household ever experienced significant financial difficulty because of increases in rent or mortgage payments?",,Racial identity,Racialized,"Yes, sometimes",40200,285000,14.1,Good,117
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Sex,Female,Yes,34400,532300,6.5,Good,118
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Sex,Female,Yes,36900,549900,6.7,Good,119
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Sexual orientation,Heterosexual,Yes,17500,388500,4.5,Good,120
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Sexual orientation,Heterosexual,Yes,19000,402200,4.7,Good,121
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Education,High school diploma or a equivalency certificate,Yes,12500,187600,6.7,Good,122
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Education,High school diploma or a equivalency certificate,Yes,19200,207800,9.2,Good,123
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Education,Less than high school diploma or its equivalent,Yes,10200,87500,11.7,Good,124
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Sex,Male,Yes,31300,524100,6,Good,125
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Sex,Male,Yes,38000,543600,7,Good,126
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Racial identity,Non-racialized,Yes,38900,761000,5.1,Good,127
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Racial identity,Non-racialized,Yes,31700,765000,4.1,Good,128
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Overall,Total,Yes,74800,1093500,6.8,Good,129
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,,Total,Yes,65900,1057400,6.2,Good,130
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,16300,199500,8.2,Good,131
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,16000,200400,8,Good,132
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Education,University certificate,Yes,17100,423000,4,Good,133
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Education,University certificate,Yes,13300,405300,3.3,Good,134
2018,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Racial identity,Racialized,Yes,25700,285000,9,Good,135
2021,Financial pressures,9,7,"In the past 12 months, has your household ever skipped or delayed a mortgage or rent payment?",,Racial identity,Racialized,Yes,43200,327000,13.2,Good,136
2018,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Sex,Female,Yes,3900,34400,11.3,Good,137
2021,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Sex,Female,Yes,7300,36800,19.8,Good,138
2018,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Sex,Male,Yes,3700,31300,11.8,Good,139
2021,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Sex,Male,Yes,6500,37900,17.2,Good,140
2018,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Racial identity,Non-racialized,Yes,2800,38800,7.2,Good,141
2021,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Overall,Total,Yes,13800,74700,18.5,Good,142
2018,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,,Total,Yes,7600,65900,11.5,Good,143
2021,Financial pressures,11,9,[Among those who skipped or delayed a mortgage or rent payment in the past 12 months] Is your household currently behind in rent or mortgage payments?,,Racial identity,Racialized,Yes,3400,43200,7.9,Good,144
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Sex,Female,Yes,11200,532300,2.1,Good,145
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Sex,Female,Yes,10200,549900,1.9,Good,146
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Sexual orientation,Heterosexual,Yes,20000,983600,2,Good,147
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Education,Less than high school diploma or its equivalent,Yes,4800,84200,5.7,Good,148
2018,Financial pressures,46,42,Is any member of your household currently on a waiting list for subsidized housing?,,Sex,Male,Yes,9300,524000,1.8,Good,149
2021,Financial pressures,46,28,Is any member of your household currently on a waiting list for subsidized housing?,,Sex,Male,Yes,7400,543600,1.4,Good,150
